Ticker,Name,Sector,Industry,Price,MarketCap,PriceChg1Y,PriceChg3Y,PriceChg5Y,PriceChg10Y,Sales_D,Sales_Pct,Profits_D,Profits_Pct,Q,P,O,Score_Sector,Score_Sector_Adj,Score_Ind,Score_Ind_Adj,Rank_Sales_D,Rank_Price3Y,Rank_Sales_TotalShare,Rank_Profits_D,Rank_Sales_D_Sec,Rank_Price3Y_Sec,Rank_Sales_D_Ind,Rank_Price3Y_Ind,Sales_D_SecShare,Sales_D_IndShare,OnGRNJ
KMB,Kimberly-Clark Corporation,Consumer Staples,Household Products,99.17,32981.86,-0.2253,-0.0801,-0.0626,-0.0213,-3135.003567181928,0.008208183863318563,-66.0,-0.032657100445324105,,,0,458.3333333333333,1000.0,21.666666666666668,1000.0,1287.0,1068.0,85.0,1158.0,54.0,34.0,6.0,5.0,-0.04442736580659444,-9.66046860222286,False
KMT,Kennametal Inc.,Industrials,Machinery,29.199,2225.52,0.3937,0.0439,-0.0414,0.0093,389.8330328826571,0.19821033632457996,249.26,2.6764737463760335,,,0,204.66666666666666,204.66666666666666,42.333333333333336,42.333333333333336,402.0,793.0,681.0,119.0,84.0,128.0,15.0,28.0,0.0034550157379516036,0.02503014012675135,False
KMX,CarMax Inc.,Consumer Discretionary,Specialty Retail,60.401,8571.57,0.0205,-0.0936,-0.1479,0.009,-475.9799328859044,0.01594233549738555,-24.75,-0.10008492053863882,,,0,498.3333333333333,1000.0,64.66666666666667,1000.0,1249.0,1093.0,37.0,1033.0,133.0,113.0,33.0,28.0,-0.007512941175376025,-0.02141049391877335,False
KN,Knowles Corporation,Information Technology,Electronic Equipment Instruments and Components,35.704,3049.49,0.6583,0.3499,0.1331,0.0999,71.90697880642006,0.07046527309507744,23.299999999999997,0.5271493212669682,,,0,360.3333333333333,360.3333333333333,56.0,56.0,913.0,210.0,1131.0,621.0,127.0,41.0,30.0,11.0,0.0007556427110922257,0.0015652118385397354,False
KNF,Knife River Corporation,Materials,Construction Materials,57.74,3277.52,-0.2653,0.0448,,,357.79876036743053,0.05133168680328404,-17.180000000000007,-0.10937798433819323,,,0,162.33333333333334,1000.0,11.333333333333334,1000.0,422.0,790.0,546.0,984.0,29.0,36.0,2.0,3.0,0.011119795749673174,0.37987979577948605,False
KNSL,Kinsale Capital Group Inc.,Financials,Insurance,360.293,8206.91,-0.1854,-0.0422,0.1658,0.3284,272.63615955793466,0.06510707100891677,65.08000000000004,0.1292269811957667,,,1,266.0,1000.0,54.333333333333336,1000.0,504.0,1003.0,736.0,373.0,101.0,193.0,27.0,35.0,0.0014844963603170426,0.009157854267917449,False
KNTK,Kinetik Holdings Inc.,Energy,Oil Gas and Consumable Fuels,54.735,8887.82,0.3023,0.1604,,,233.76320630749,0.06881131722578337,24.31000000000006,0.046222881372045777,,,0,205.66666666666666,205.66666666666666,28.666666666666668,28.666666666666668,555.0,472.0,762.0,613.0,35.0,27.0,30.0,21.0,0.002818213358813224,0.0029271297730262833,False
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,Ground Transportation,69.105,11247.25,0.6592,0.0973,0.0592,0.0945,302.2805073508216,0.0347578011938916,-23.010000000000005,-0.3489006823351024,,,0,229.33333333333334,229.33333333333334,37.666666666666664,37.666666666666664,479.0,652.0,236.0,1021.0,101.0,108.0,6.0,6.0,0.002679054420940906,0.07204616394509046,False
KR,The Kroger Co.,Consumer Staples,Consumer Staples Distribution and Retail,56.801,34819.01,-0.1526,0.0654,0.0588,0.0606,1675.4528376507806,0.00679345985559654,37.0,0.036417322834645605,,,1,32.333333333333336,1000.0,7.666666666666667,1000.0,73.0,738.0,3.0,515.0,7.0,17.0,6.0,10.0,0.023743499653149938,0.085888856840419,False
KRC,Kilroy Realty Corporation,Real Estate,Office REITs,34.974,4107.44,-0.1693,-0.0226,-0.1127,-0.0659,-42.755544472152906,-0.01645591235496613,-106.82,-0.38686078516586986,,,0,435.0,1000.0,32.666666666666664,1000.0,1157.0,953.0,963.0,1206.0,84.0,64.0,7.0,7.0,-0.0017817092320067127,-0.08038733614079879,False
KRG,Kite Realty Group Trust,Real Estate,Retail REITs,26.025,5352.16,0.1521,0.0474,0.0549,-0.0071,-47.04988358556466,-0.04443549628717269,38.64999999999998,0.12941137078952636,,,0,431.0,1000.0,38.333333333333336,1000.0,1165.0,783.0,1057.0,508.0,86.0,42.0,16.0,13.0,-0.00196066294989742,-0.05038173125348798,False
KRMN,Karman Holdings Inc.,Industrials,Aerospace and Defense,35.869,4753.85,-0.4262,,,,197.11839512747116,0.25037115588547176,19.81,1.1404720782959124,,,0,317.0,1000.0,56.666666666666664,1000.0,616.0,1235.0,1151.0,662.0,129.0,206.0,18.0,23.0,0.0017470226993569738,0.01676862039385893,False
KRYS,Krystal Biotech Inc.,Health Care,Biotechnology,347.199,10276.69,1.5258,0.408,0.43,,81.28567560955719,0.13196104129725295,36.629999999999995,0.17883122589464429,,,1,346.6666666666667,346.6666666666667,50.666666666666664,50.666666666666664,891.0,168.0,1197.0,518.0,101.0,48.0,28.0,23.0,0.0012324463110811195,0.007047041928461951,False
KTB,Kontoor Brands Inc.,Consumer Discretionary,Textiles Apparel and Luxury Goods,66.824,3652.17,-0.1349,0.1502,0.0455,,983.7164278578562,0.08944443387069145,40.49000000000001,0.17801714662563195,,,0,70.66666666666667,1000.0,8.333333333333334,1000.0,154.0,498.0,523.0,498.0,18.0,40.0,3.0,4.0,0.015527132858180144,0.21291882925083513,False
KTOS,Kratos Defense & Security Solutions Inc.,Industrials,Aerospace and Defense,47.859,8984.15,-0.2711,0.4805,0.1608,0.2202,309.3525896414342,0.13045738045738053,8.899999999999999,0.40454545454545454,,,0,198.0,198.0,40.666666666666664,40.666666666666664,471.0,137.0,840.0,782.0,99.0,24.0,14.0,9.0,0.0027417329359797024,0.026316245828806914,True
KVUE,Kenvue Inc.,Consumer Staples,Personal Care Products,17.855,34295.41,-0.0333,-0.057,,,266.49056603773715,0.01877810103147315,188.0,0.1278911564625851,,,0,189.33333333333334,1000.0,9.666666666666666,1000.0,511.0,1033.0,98.0,164.0,25.0,32.0,2.0,2.0,0.0037765423890753435,0.3657657072034934,False
KVYO,Klaviyo Inc.,Information Technology,Software,15.967,4546.24,-0.5034,,,,311.4848118550701,0.12612437399718002,38.56,-1.2137236386528172,,,0,224.33333333333334,1000.0,39.666666666666664,1000.0,467.0,1235.0,868.0,509.0,42.0,164.0,13.0,64.0,0.0032732737712129058,0.023370335893443832,False
KWR,Quaker Chemical Corporation,Materials,Chemicals,154.58,2659.97,0.1106,-0.0249,-0.0984,0.0474,142.75885054272203,0.04591688154905915,100.16,-40.22489959839357,,,0,273.3333333333333,1000.0,20.333333333333332,1000.0,739.0,960.0,740.0,282.0,35.0,46.0,10.0,16.0,0.004436709780277063,0.0191265879976989,False
KYMR,Kymera Therapeutics Inc.,Health Care,Biotechnology,117.575,9776.43,1.7041,0.8348,0.1286,,60.288707204905464,1.6778882938026012,11.75,-0.03773887907499596,,,1,361.0,361.0,52.333333333333336,52.333333333333336,950.0,50.0,1270.0,748.0,113.0,20.0,33.0,11.0,0.0009140921107851295,0.005226714846124527,False
L,Loews Corporation,Financials,Insurance,108.51,22182.45,0.1314,0.2017,0.1472,0.1016,632.1642512077269,0.013005310501788214,20.0,0.011997600479904058,,,0,125.33333333333333,1000.0,22.666666666666668,1000.0,254.0,398.0,72.0,658.0,45.0,77.0,11.0,12.0,0.0034421168914719885,0.02123441034136674,False
LAD,Lithia Motors Inc.,Consumer Discretionary,Specialty Retail,362.525,7969.43,0.0755,0.0678,0.0179,0.1584,780.2785504407439,0.008011181111149401,-105.20000000000005,-0.12835529526598344,,,1,94.66666666666667,1000.0,15.666666666666666,1000.0,196.0,734.0,25.0,1202.0,23.0,65.0,7.0,17.0,0.012316037809254006,0.0350984316878027,False
LAMR,Lamar Advertising Company,Real Estate,Specialized REITs,148.355,15065.4,0.1718,0.1966,0.0625,0.0942,91.83368840649291,0.026389636519268178,-31.069999999999936,-0.05291663118453538,,,0,303.6666666666667,1000.0,17.0,1000.0,862.0,404.0,684.0,1064.0,41.0,8.0,7.0,3.0,0.0038268938558283154,0.03654071220139588,False
LASR,nLIGHT Inc.,Information Technology,Electronic Equipment Instruments and Components,40.88,2358.38,0.4136,0.5624,0.0877,,93.7913152750628,0.18891822599778063,10.989999999999998,-0.46825734980826583,,,0,327.6666666666667,327.6666666666667,47.666666666666664,47.666666666666664,851.0,103.0,1224.0,757.0,113.0,19.0,25.0,5.0,0.0009856167638769774,0.0020415720345579864,False
LAUR,Laureate Education Inc.,Consumer Discretionary,Diversified Consumer Services,35.905,4945.89,0.2934,0.3873,0.1639,,277.71914581389433,0.07530274453120867,39.920000000000016,0.14174626282711356,,,0,189.33333333333334,189.33333333333334,20.0,20.0,499.0,181.0,776.0,502.0,57.0,12.0,1.0,2.0,0.004383562124404959,0.13562687759788625,False
LAZ,Lazard Inc.,Financials,Capital Markets,43.051,4195.34,-0.2204,0.0919,-0.0201,0.0158,138.06227250980737,0.03267174291256869,-10.0,-0.042224380357218205,,,0,350.6666666666667,1000.0,71.33333333333333,1000.0,747.0,669.0,558.0,947.0,149.0,156.0,35.0,30.0,0.0007517452614144406,0.0013198828025003165,False
