Ticker,Name,Last Price,Market Cap,Trading Region,Trading Country,Below 52W High %,Revenues Est Avg Rev % (FY1E - 1W),Revenues Est Avg Rev % (FY1E - 1M),Revenues Est Avg Rev % (FY1E - 3M),Revenues Est Avg Rev % (FY1E - 6M),Revenues Est Avg Rev % (FY1E - 1Y),Revenues Est Avg Rev % (FY2E - 1W),Revenues Est Avg Rev % (FY2E - 1M),Revenues Est Avg Rev % (FY2E - 3M),Revenues Est Avg Rev % (FY2E - 6M),Revenues Est Avg Rev % (FY2E - 1Y),Revenues Est Avg Rev % (FY3E - 1W),Revenues Est Avg Rev % (FY3E - 1M),Revenues Est Avg Rev % (FY3E - 3M),Revenues Est Avg Rev % (FY3E - 6M),Revenues Est Avg Rev % (FY3E - 1Y),Revenues - Est Avg (FY1E),Revenues - Est Avg (FY2E),Revenues - Est Avg (FY3E),Total Revenues (-1FY),Total Revenues (-2FY),Total Revenues (-3FY),Total Revenues (-4FY),Total Revenues (-5FY),Total Revenues (-6FY),Total Revenues (-7FY),Total Revenues (-8FY),Total Revenues (-9FY),Total Revenues (-10FY),Sector,Industry,Description
MARI,Marimaca Copper Corp.,8.57,821.43,United States and Canada,CA,-0.3647,,,,,,,,,,,0,0,0,,,0,0,489,,,,,,,,,,,Materials,Metals and Mining,Marimaca Copper Corp. engages in the exploration and development of base metal projects in Chile. It explores for copper gold and other mineral deposits. The company’s flagship project is the 100% owned Marimaca copper project located in the northern Chile near Antofagasta. The company was formerly known as Coro Mining Corp. and changed its name to Marimaca Copper Corp. in May 2020. Marimaca Copper Corp. was incorporated in 2004 and is based in Vancouver Canada.
SFC,Sagicor Financial Company Ltd.,8.48,818.96,United States and Canada,CA,-0.1947,,,,,,,,,,,,,,,,,,,1456.28,1313.38,818.01,2344.03,1849.52,1865.78,1475.17,1201.4,1102.18,1080.08,Financials,Insurance,Sagicor Financial Company Ltd. together with its subsidiaries provides various financial services to individuals and corporations in Canada the United States Jamaica and the rest of the Caribbean. It operates through Sagicor Canada Sagicor Life USA Sagicor Jamaica Sagicor Life and Head Office and Other segments. The company offers life health general property casualty accident and sickness insurance; annuities and pension administration; investment asset and pension fund management; insurance brokerage; captive insurance management; investment retail and commercial banking; and microfinance. It also provides real estate investment development and management; cambo and remittance services; loan and lease financing; deposit-taking; farming; mutual fund holding; reinsurance; corporate management; and retirement community services. The company distributes its products and services through insurance advisors agents and brokers. Sagicor Financial Company Ltd. was founded in 1840 and is headquartered in St Michael Barbados.
FF,First Mining Gold Corp.,0.82,819.27,United States and Canada,CA,-0.1633,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,First Mining Gold Corp. acquires develops and explores mineral properties in Canada. It primarily explores gold and silver deposits. The company holds interests in the Springpole Gold Project covering an area of approximately 800 hectares located in northwestern Ontario; and Duparquet Gold Project located on the destor-porcupine fault zone in the Abitibi region of Quebec Canada. First Mining Gold Corp. was founded in 2015 and is based in Vancouver Canada.
LMCU,Lumina Metals Corp.,10.4,804.07,United States and Canada,CA,-0.19,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Lumina Metals Corp. engages in the exploration and development of mineral properties in Canada and Poland. It primarily explores copper and silver deposits. Its flagship project is the Nowa Sól project covering an area of 120 square kilometers located in Lubuskie Province Poland. The company was formerly known as Miedzi Copper Corp and changed its name to Lumina Metals Corp. in December 2024. Lumina Metals Corp. was incorporated in 2010 and is headquartered in Vancouver Canada.
NDM,Northern Dynasty Minerals Ltd.,1.97,785.33,United States and Canada,CA,-0.5298,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Northern Dynasty Minerals Ltd. engages in the acquisition exploration and development of mineral properties in the United States. It primarily explores copper gold molybdenum silver and rhenium deposits. The company holds 100% interest in the Pebble Copper-Gold-Molybdenum-Silver-Rhenium project comprising 1840 mineral claims that covers an area of approximately 274 square miles located in southwest Alaska the United States. The company was formerly known as Northern Dynasty Explorations Ltd. and changed its name to Northern Dynasty Minerals Ltd. in October 1997. Northern Dynasty Minerals Ltd. was incorporated in 1983 and is based in Vancouver Canada.
MNO,Meridian Mining Plc,2.24,773.81,United States and Canada,CA,-0.0468,,,,,-1,,,,,-1,0.008,-0.0079,-0.3546,-0.7463,-0.6599,0,0,88.28,,,,,0.24,6.26,10.22,10.46,5.95,0.33,Materials,Metals and Mining,Meridian Mining Plc together with its subsidiaries engages in the acquisition exploration and development of mineral properties in Brazil. The company explores manganese gold copper and silver deposits. It’s flagship property is the Cabaçal copper-gold project located in the state of Mato Grosso Brazil. The company was formerly known as Meridian Mining UK Societas and changed its name to Meridian Mining Plc. Meridian Mining Plc was founded in 2013 and is headquartered in London United Kingdom.
CVG,Clairvest Group Inc.,80,765.11,United States and Canada,CA,-0.0805,,,,,,,,,,,,,,,,,,,122.65,27.06,96.32,336.79,141.41,91.89,152.81,161.42,98.86,58.54,Financials,Capital Markets,Clairvest Group Inc. is a private equity firm specializing in mid-market growth equity investments buyouts industry consolidation and acquisitions. It seeks to invest in small and mid-sized gaming (land and online) and casinos restaurants healthcare experience economy equipment rental medical practice management waste management aerospace architecture and engineering & consulting (AEC) agriculture oil and gas field services dental life science and services renewable energy co-packing / private label manufacturing defense building products environmental services healthcare IT interactive home entertainment distribution extermination and pest control sanitary services airfreight and logistics document management software systems software; metal glass and plastic containers; paper and plastic packaging products and materials; metals and mining; water utilities specialty educational services specialized consumer services human resources and employment services research and consulting services linens and bedding insurance services education government services industrial services energy services & renewables food & beverage technology services industrial distribution and services information technology and information services media and marketing services and renewable energy sectors. The firm seeks to invest in Canada and the US. It seeks to make equity investments between C$25 million ($18.23 million) and C$100 million ($72.92 million) in its portfolio company with EBITDA between C$10 million ($7.29 million) and C$50 million ($36.46 million). The firm prefers majority and minority investments. It invests its own capital by co-investing alongside institutional investors in owner-led businesses. Clairvest Group Inc. was founded in 1987 and is based in Toronto Canada.
SEC,Senvest Capital Inc.,440,754.11,United States and Canada,CA,0,,,,,,,,,,,,,,,,,,,674.19,322.37,-546.35,1954.44,578.98,336.47,-247.31,403.52,254.82,-144.3,Financials,Capital Markets,Senvest Capital Inc. is a privately owned hedge fund sponsor. It was founded in 1968 and is headquartered in Montreal Quebec Canada.
TAU,Thesis Gold & Silver Inc.,3.55,742.41,United States and Canada,CA,-0.108,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Thesis Gold & Silver Inc. a resource development company engages in the identification evaluation acquisition and exploration of mineral properties in Canada. The company explores for gold silver and precious metals deposits. It holds 100% interest in the Lawyers-Ranch project covering an area of 495 square kilometers located in the Toodoggone mining district of northern central British Columbia. The company was formerly known as Thesis Gold Inc. and changed its name to Thesis Gold & Silver Inc. in February 2026. Thesis Gold & Silver Inc. was incorporated in 2010 and is based in Vancouver Canada.
ITH,International Tower Hill Mines Ltd.,3.9,723.63,United States and Canada,CA,-0.2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,Metals and Mining,International Tower Hill Mines Ltd. a development stage company engages in the acquisition exploration and development of mineral properties. It holds 100% interest in the Livengood Gold Project covering an area of approximately 19546 hectares located in the northwest of Fairbanks Alaska. The company was formerly known as Tower Hill Mines Ltd. and changed its name to International Tower Hill Mines Ltd. in March 1991. International Tower Hill Mines Ltd. was incorporated in 1978 and is headquartered in Vancouver Canada.
FDR,Founders Metals Inc.,6.95,709.26,United States and Canada,CA,0,,,,-1,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Founders Metals Inc. is involved in the exploration and development of mineral properties in Canada. It primarily explores for gold. The company’s flagship project is the Antino Gold Project covering an area of 20000 hectares located in southeastern Suriname. Founders Metals Inc. is headquartered in Vancouver Canada.
ARA,Aclara Resources Inc.,3.75,660.03,United States and Canada,CA,-0.3056,,,,,,,,,,,0,0.1897,0.1897,-0.4651,-0.783,0,0,69,,,,,,,,,,,Materials,Metals and Mining,Aclara Resources Inc. a mining company engages in the exploration and development of rare-earth mineral resources in Chile Brazil and Peru. Aclara Resources Inc. was formerly known as 1303714 B.C. Ltd and changed its name to Aclara Resources Inc. in October 2021. Aclara Resources Inc. was incorporated in 2021 and is headquartered in Santiago De Surco Peru.
ALC,Algoma Central Corporation,22.51,647.61,United States and Canada,CA,-0.1173,,,,,,,,,,,,,,,,,,,489.29,544.33,500.71,473.59,428.84,437.36,372.31,360.29,291.48,298.02,Industrials,Marine Transportation,Algoma Central Corporation owns and operates a fleet of dry and liquid bulk carriers activities in Canada. It operates through five segments: Domestic Dry-Bulk Product Tankers Ocean Self-Unloaders Global Short Sea Shipping and Corporate. The company operates dry-bulk carriers for industrial sectors including producers of iron and steel aggregate salt and cement and building materials as well as agricultural product distributors as well as fleet consists of ten product tankers; and engages in marine operations. It also provides cargo transportation services. In addition the company operates ocean self-unloading vessels; global fleets including fleet of specialized cement carriers short sea mini-bulkers and handy-size bulk carriers; and provides specialized equipment or services on niche marine transportation markets. Further it offers third-party management services and other administrative services as well as engages in real estate rental operations. The company was formerly known as Algoma Central Railway and changed its name to Algoma Central Corporation in 1990. Algoma Central Corporation was incorporated in 1899 and is headquartered in Saint Catharines Canada.
ISO,IsoEnergy Ltd.,13.37,618.74,United States and Canada,CA,-0.2761,,,,,,,,,-1,-1,,,,,,0,0,,,,,,,,,,,,Energy,Oil Gas and Consumable Fuels,IsoEnergy Ltd. engages in the acquisition exploration and development of mineral properties. The company explores for uranium copper rare earth and gold deposits. It holds a portfolio of properties in Canada the United States and Australia. The company was incorporated in 2016 and is headquartered in Toronto Canada.
ATX,ATEX Resources Inc.,2.3,614.04,United States and Canada,CA,-0.4945,,,,,,,,,,,,,,,-1,0,0,0,,,,,,,,,,,Materials,Metals and Mining,ATEX Resources Inc. together with its subsidiaries engages in the exploration and evaluation of mineral properties in South America. Its flagship property is the Valeriano copper gold project covering approximately 25000 hectares located in the north-central Chile. The company was formerly known as Colombia Crest Gold Corp. and changed its name to ATEX Resources Inc. in February 2019. ATEX Resources Inc. was incorporated in 1981 and is headquartered in Toronto Canada.
GSKR,Goldsky Resources Corp.,3.205,607.09,United States and Canada,CA,-0.3093,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Goldsky Resources Corp. a gold exploration and development company engages in the acquisition and exploration of mineral properties in Sweden and Finland. It explores for gold silver and cobalt deposits. The company’s flagship project is the Barsele project covering an area of approximately 25000 hectares located in Västerbottens Län northern Sweden. The company was formerly known as First Nordic Metals Corp. and changed its name to Goldsky Resources Corp. in December 2025. Goldsky Resources Corp. was incorporated in 2013 and is headquartered in Vancouver Canada.
BYN,Banyan Gold Corp.,1.86,588.22,United States and Canada,CA,-0.1545,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Banyan Gold Corp. engages in the exploration and development of mineral properties in Canada. The company explores for gold silver quartz diamond and precious and base metal deposits. Its flagship project is the 100%-owned AurMac Gold Project that covers an area of approximately 9230 hectares located in the Mayo Mining district Yukon Territory. The company is headquartered in Vancouver Canada.
PMET,PMET Resources Inc.,4.42,582.85,United States and Canada,CA,-0.4341,,,,-1,,,,,-1,,,,,,-1,0,0,0,,,,,,,,,,,Materials,Metals and Mining,PMET Resources Inc. engages in the identification acquisition of exploration development and evaluation of mineral properties in the United States and Canada. The company explores for gold copper silver lithium caesium and tantalum deposits. Its flagship property is the Shaakichiuwaanaan project comprising 463 claims totaling 23710 hectares located in the Eeyou Istchee James Bay region of Québec Canada. The company was formerly known as Patriot Battery Metals Inc. and changed its name to PMET Resources Inc. in September 2025. PMET Resources Inc. was incorporated in 2007 and is headquartered in Montreal Canada.
ASE,Asante Gold Corporation,0.9,577.33,United States and Canada,CA,-0.6565,,,,,,,,,,,,,,,,,,,458.88,426.13,206.49,,,,,,,,Materials,Metals and Mining,Asante Gold Corporation a mineral exploration and gold production company primarily involved in the assessment acquisition development and operation of mines in the Republic of Ghana. It explores gold deposits. The company was incorporated in 2011 and is headquartered in Vancouver Canada.
DRUG,Bright Minds Biosciences Inc.,81.54,570.4,United States and Canada,CA,-0.5204,,,,,,-0.0082,-0.0238,-0.0933,-0.2494,,,,,,-1,0,21.45,0,,,,,,,,,,,Health Care,Biotechnology,Bright Minds Biosciences Inc. a biotechnology company develops therapeutics to improve the lives of patients with severe and life-altering diseases in the United States. Its portfolio includes 5-HT2 Receptors which are serotonin agonists for epilepsy and neuropsychiatric disorders; and BMB-101 which has completed phase 1 trial for undisclosed seizure disorder and is in phase 2 clinical trials for the developmental and epileptic encephalopathies and absence epilepsies. The company also develops BMB-201 and BMB-202 for the treatment of neuropsychiatric and neurology indications; and BMB-105 a 5-HT2C agonist to treat Prader Willi Syndrome. Bright Minds Biosciences Inc. has a collaboration with Firefly Neuroscience Inc. to provide an analysis of the electroencephalogram (EEG) data in the Company’s BREAKTHROUGH study. The company was founded in 2017 and is headquartered in New York New York.
TMQ,Trilogy Metals Inc.,4.62,565.98,United States and Canada,CA,-0.6963,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Trilogy Metals Inc. engages in the exploration and development of mineral properties in the United States. It primarily explores copper cobalt lead zinc gold and silver properties. The company principally holds interests in the Upper Kobuk mineral projects that include the Arctic which contains polymetallic volcanogenic massive sulfide deposits; and Bornite that contains carbonate-hosted copper-cobalt deposits covering an area of approximately 448217 acres located in the Ambler mining district in Northwest Alaska. The company was formerly known as NovaCopper Inc. and changed its name to Trilogy Metals Inc. in September 2016. Trilogy Metals Inc. was founded in 2004 and is headquartered in Vancouver Canada.
SLG,San Lorenzo Gold Corp.,7.15,552.07,United States and Canada,CA,-0.0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,Metals and Mining,San Lorenzo Gold Corp. engages in the acquisition and development of mineral properties in Chile. The company explores for gold copper silver and cobalt deposits. It primarily holds a 100% interest in the Salvadora project covering an area of 9062 hectares located in Atacama Region Chile. The company is headquartered in Calgary Canada.
AUXX,Gold X2 Mining Inc.,7.73,554.69,United States and Canada,CA,-0.3558,,,-1,-1,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Gold X2 Mining Inc. engages in the exploration and development of gold and metal mineral properties in Canada. It holds 100% in the Moss Gold Project located in Ontario Canada. The company was formerly known as Goldshore Resources Inc. and changed its name to Gold X2 Mining Inc. in September 2025. The company is headquartered in Vancouver Canada.
MOON,Blue Moon Metals Inc.,7.28,541.39,United States and Canada,CA,-0.3831,,,,,,,,,,-1,0,-0.0045,-0.2395,-0.3282,0.2325,0,0,198.86,,,,,,,,,,,Materials,Metals and Mining,Blue Moon Metals Inc. engages in the exploration and development of mineral resource properties in Norway and the United States. The company explores for zinc silver gold lead germanium tungsten antimony gallium and copper deposits. Its flagship project is the 100% owned the Nussir project located at the Finnmark county in northern Norway. The company was formerly known as Blue Moon Zinc Corp. and changed its name to Blue Moon Metals Inc. in April 2021. Blue Moon Metals Inc. was incorporated in 2007 and is headquartered in Toronto Canada.
RML,Rusoro Mining Ltd.,1.2,544.88,United States and Canada,CA,-0.1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,Metals and Mining,Rusoro Mining Ltd. engages in the acquisition exploration development and operation of gold mining and mineral properties in Venezuela. The company primarily holds 95% interest in the Choco 10 mine; and 50% interest in the Isidora mine. The company was formerly known as Newton Ventures Inc. and changed its name to Rusoro Mining Ltd. in November 2006. Rusoro Mining Ltd. is headquartered in Vancouver Canada.
EPRX,Eupraxia Pharmaceuticals Inc.,11.52,538.44,United States and Canada,CA,-0.1042,,,,,,-0.0082,-0.0238,-0.9507,-0.9528,-0.9719,-0.0082,-0.0238,-0.7011,-0.7128,-0.8962,0,0.55,1.44,,,,,,,,,,,Health Care,Biotechnology,Eupraxia Pharmaceuticals Inc. a clinical-stage biotechnology company focuses on the development of products to address therapeutic areas with unmet medical need. Its proprietary Diffusphere technology optimizes drug delivery for applications with significant unmet medical need. The company’s product portfolio includes EP-104IAR which is in Phase III clinical trial for the treatment of knee osteoarthritis; EP-104GI that is in Phase II clinical trial for treating eosinophilic esophagitis; and EP-104 which is under preclinical studies for the treatment of gastrointestinal tract such as eosinophilic esophagitis. The company was formerly known as Plaza Capital Partners Inc. and changed its name to Eupraxia Pharmaceuticals Inc. in May 2012. Eupraxia Pharmaceuticals Inc. was incorporated in 2011 and is headquartered in Victoria Canada.
WRN,Western Copper and Gold Corporation,3.36,538.94,United States and Canada,CA,-0.4146,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Western Copper and Gold Corporation an exploration stage company engages in the exploration and development of mineral properties in Canada. It explores for gold copper silver and molybdenum deposits. Its principal property is the Casino mineral property located in Yukon Canada. The company was formerly known as Western Copper Corp. and changed its name to Western Copper and Gold Corporation in October 2011. Western Copper and Gold Corporation was incorporated in 2006 and is headquartered in Vancouver Canada.
QRC,Queen's Road Capital Investment Ltd.,14.03,536.09,United States and Canada,CA,-0.2842,,,,,,,,,,,,,,,,,,,23.2,10.29,8.51,71.39,17.14,,,,,,Financials,Capital Markets,Queen's Road Capital Investment Ltd. a resource focused investment company invests in privately held and publicly-traded resource companies. It acquires and holds securities of long-term capital appreciation with a focus on convertible debt securities and resource projects in advanced development or production located in safe jurisdictions. The company was formerly known as Lithion Energy Corp. and changed its name to Queen's Road Capital Investment Ltd. in January 2020. Queen's Road Capital Investment Ltd. was incorporated in 2011 and is based in Central Hong Kong.
SLI,Standard Lithium Ltd.,2.96,518.04,United States and Canada,CA,-0.6707,,,,,,,,,,,,,-1,-1,-1,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Standard Lithium Ltd. explores for and develops lithium brine properties in the United States. Its flagship projects comprise the South West Arkansas Project which covers an area of approximately 30000 net mineral acres of brine leases located on the Smackover Formation in Arkansas; and the East Texas Properties which includes the Franklin project located in the East Texas region of the Smackover. The company was formerly known as Patriot Petroleum Corp. and changed its name to Standard Lithium Ltd. in December 2016. Standard Lithium Ltd. was incorporated in 1998 and is headquartered in Vancouver Canada.
FWZ,Fireweed Metals Corp.,3.12,502.45,United States and Canada,CA,-0.3942,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,Materials,Metals and Mining,Fireweed Metals Corp. engages in the acquisition and exploration of mineral projects in Canada. The company primarily explores zinc lead and silver as well as gallium and germanium deposits. Its flagship project is the 100% Macpass project covering an area of 949 square kilometers located in Yukon Canada. The company was formerly known as Fireweed Zinc Ltd. and changed its name to Fireweed Metals Corp. in June 2022. Fireweed Metals Corp. was incorporated in 2015 and is headquartered in Vancouver Canada.
TTS,Tintina Mines Limited,2.49,500.65,United States and Canada,CA,-0.3083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,Metals and Mining,Tintina Mines Limited engages in the acquisition exploration and development of base and precious metal properties in Canada and Chile. It also explores for gold copper molybdenum and silver deposits. The company holds interest in various properties located in the Whitehorse Mining District Yukon Territory; Sudbury Mining District Ontario; Watson Lake Mining District Yukon Territory; and the Dos Amigos mining district Chile. Tintina Mines Limited was incorporated in 1961 and is based in Toronto Canada.
AMX,Amex Gold Mining Inc.,4.29,489.15,United States and Canada,CA,-0.1966,,,,,,,,,,,-0.0082,-0.8115,-0.6313,-0.7821,-0.5208,0,0,59.56,,,,,,,,,,,Materials,Metals and Mining,Amex Gold Mining Inc. together with its subsidiaries engages in the exploration of gold mining sites in Canada. Its flagship project is the Perron Gold project that consists of 183 claims covering an area of 6572 hectares located in the township of Perron in Quebec. The company was formerly known as Amex Exploration Inc. and changed its name to Amex Gold Mining Inc. in June 2026. Amex Gold Mining Inc. is based in Montreal Canada.
AVTS,Aventus Capital Inc.,20.5,483.31,United States and Canada,CA,-0.2931,,,,,,,,,,,,,,,,,,,38.55,212.78,27.44,33.72,-26.02,19.29,21.08,23.55,-1.3,-2.45,Financials,Capital Markets,The Westaim Corporation is a private equity and venture capital firm specializing in direct and indirect investments through acquisitions joint ventures secondary investments both direct and indirect fund of fund investments and other arrangements. For direct investments the firm invests in early venture mezzanine mid venture late venture middle market later stage mature emerging growth PIPEs and buyout transactions. For fund of fund investments it seeks to invest in private equity funds venture capital funds and hedge funds. The firm seeks to provide long term capital to businesses operating in the global financial services industry including multi-sector holdings and specialized finance sectors. It typically acquires controlling interests in businesses. The firm seeks to acquire debt equity or derivative securities of both public and private companies. It invests with the objective of providing its shareholders with capital appreciation and real wealth preservation. The firm seeks to provide its portfolio companies with advisory services including but not limited to advice on capital allocation financing strategy performance measurement and merger and acquisition support. It also seeks to partner with like-minded providers of third party capital to help supplement the firm’s own capital when completing acquisitions. The firm generally seeks to hold its investments for 7 to 15 years. The Westaim Corporation was founded in 1996 and is based in Toronto Canada with an additional office in New York New York.
FVL,Freegold Limited,1.17,479.44,United States and Canada,CA,-0.3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,Metals and Mining,Freegold Limited an exploration stage company engages in the acquisition exploration and evaluation of precious and base metal properties in the United States and Canada. The company explores for gold deposits. It holds interests in the Golden Summit property that consists of 53 patented claims 107 unpatented federal claims and 241 State of Alaska claims covering an area of 15098.6 hectares located in the Fairbanks Mining District Alaska; and the Shorty Creek Project. The company was formerly known as Freegold Ventures Limited and changed its name to Freegold Limited in July 2026. Freegold Limited was incorporated in 1985 and is headquartered in Vancouver Canada.
BSX,Belo Sun Mining Corp,1.2,473.05,United States and Canada,CA,-0.2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,Metals and Mining,Belo Sun Mining Corp through its subsidiaries operates as a gold exploration and development company in Brazil. Its principal asset is the 100% owned Volta Grande Gold project which comprises four mining concession applications three rights to apply for a mining concession 64 exploration permits extensions submitted and six ratifications submitted covering a total area of 154850.64 hectares located in the Três Palmeiras greenstone belt in the northern region of Pará State. The company was formerly known as Verena Minerals Corporation and changed its name to Belo Sun Mining Corp in July 2010. Belo Sun Mining Corp was incorporated in 1996 and is headquartered in Toronto Canada.
TWC,TWC Enterprises Limited,27.4,468.81,United States and Canada,CA,-0.0861,,,,,,,,,,,,,,,,,,,171.18,173.94,140.93,141.09,103.58,129.99,126.48,136.74,170.57,163.83,Consumer Discretionary,Hotels Restaurants and Leisure,TWC Enterprises Limited owns operates and manages golf clubs under the ClubLink One Membership More Golf brand in Canada and the United States. The company was formerly known as ClubLink Enterprises Limited and changed its name to TWC Enterprises Limited in May 2014. TWC Enterprises Limited is based in King City Canada. TWC Enterprises Limited is a subsidiary of Paros Enterprises Limited.
WFC,Wall Financial Corporation,20.5,464.97,United States and Canada,CA,-0.0298,,,,,,,,,,,,,,,,,,,141.22,115.45,108.5,189.63,149.76,358.58,344.19,240.42,232.73,94.62,Real Estate,Real Estate Management and Development,Wall Financial Corporation together with its subsidiaries operates as a real estate investment and development company in Canada. The company operates in three segments: Rental Hotel and Development. It is involved in the ownership and management of revenue-producing residential and commercial properties; ownership and management of hotel properties; and development and sale of residential housing. Wall Financial Corporation was founded in 1969 and is based in Vancouver Canada.
JAG,Jaguar Mining Inc.,7.42,449.02,United States and Canada,CA,-0.2295,,,,,,,,,,,,,,,,,,,158.63,136.53,142.5,151.47,160.25,97.23,94.92,105.23,120.54,106.51,Materials,Metals and Mining,Jaguar Mining Inc. a junior gold mining company engages in the acquisition exploration development and operation of gold mineral properties in Brazil. The company’s principal project includes the Turmalina Gold Mine Complex and Caeté Gold Mine Complex with mineral claims covering an area of approximately 46619.08 hectares located in the Iron Quadrangle in the state of Minas Gerais. It also owns the Paciência Gold Mine complex. Jaguar Mining Inc. is based in Toronto Canada.
NOU,Nouveau Monde Graphite Inc.,1.89,441.18,United States and Canada,CA,-0.7626,,,,,-1,,,,,-1,-0.0082,-0.2678,-0.2444,-0.4933,-0.7087,0,0,52.02,,,,,,,,,,,Materials,Metals and Mining,Nouveau Monde Graphite Inc. engages in the acquisition exploration development and evaluation of mineral properties in Quebec Canada. It primarily explores for graphite. The company’s flagship property is the 100% owned Matawinie graphite property including 176 mining claims covering an area of 9264 hectares located in Quebec. It also involved in the real estate and trading activities as well as active anode material operations. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. The company was founded in 2012 and is headquartered in Saint-Michel-Des-Saints Canada.
MAXX,Max Power Mining Corp.,3.35,429.32,United States and Canada,CA,-0.1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,Metals and Mining,Max Power Mining Corp. a junior mineral exploration company engages in the acquisition exploration and evaluation of natural resource properties. It operates through Mineral Exploration Properties and Research and Development segments. The company explores for lithium nickel cobalt copper platinum group element and hydrogen deposits. It holds a portfolio of properties in the United States and Canada. Max Power Mining Corp. was incorporated in 2021 and is based in Saskatoon Canada.
REG,Regulus Resources Inc.,4.75,423.37,United States and Canada,CA,-0.1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,Metals and Mining,Regulus Resources Inc. operates as a mineral exploration company in Canada and Peru. Its project include AntaKori copper-gold-silver project located in the Yanacocha-Hualgayoc mining district in the Department of Cajamarca Northern Peru. The company was incorporated in 2010 and is headquartered in Vancouver Canada.
FEC,Frontera Energy Corporation,8.39,421.07,United States and Canada,CA,-0.4997,,,,,,,,,,,,,,,,,,,1084.65,1148.6,1270.76,894.06,648.51,1383.58,1320.48,1254.42,1411.71,2824.55,Energy,Oil Gas and Consumable Fuels,Frontera Energy Corporation engages in the exploration development production transportation storage and sale of oil and natural gas in South America. The company has a portfolio of assets which consists of interests in 17 exploration and production blocks in Colombia and Guyana; and pipeline transportation and port facilities in Colombia. It also engages in onshore and colombian infrastructure business. The company was formerly known as Pacific Exploration & Production Corporation and changed its name to Frontera Energy Corporation in June 2017. Frontera Energy Corporation was incorporated in 1985 and is headquartered in Calgary Canada.
RDS,Radisson Mining Resources Inc.,1.15,417.15,United States and Canada,CA,-0.1418,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0.02,,,Materials,Metals and Mining,Radisson Mining Resources Inc. a gold exploration company engages in the acquisition exploration and development of mining projects in Canada. The company focuses on its 100% owned O’Brien Gold project that comprises 147 mineral claims covering an area of 7426 hectares located in the Abitibi region in northwestern Québec. It also holds 100% interest in the Douay project that consists of 30 mineral claims covering an area of 1606 hectares located in the James Bay territory Québec. Radisson Mining Resources Inc. was incorporated in 1983 and is headquartered in Rouyn-Noranda Canada.
ETG,Entrée Resources Ltd.,2.79,413.75,United States and Canada,CA,-0.1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,Metals and Mining,Entrée Resources Ltd. a mining company engages in the development and exploration of mineral properties in Canada Mongolia Peru and Australia. Its principal asset is the Entrée/Oyu Tolgoi joint venture property comprising Hugo North Extension copper-gold deposit and the Heruga copper-gold molybdenum deposit located in Mongolia. The company was formerly known as Entrée Gold Inc. and changed its name to Entrée Resources Ltd. in May 2017. Entrée Resources Ltd. was founded in 1995 and is headquartered in Vancouver Canada.
