signal,kind,n_firings,n_turns,hit_rate,median_lead,median_nearest,pct_late,recall,fwd4,base4,edge4,fwd8,base8,edge8,fwd13,base13,edge13,p_value,fwd26,base26,edge26,ratio,theta,universe,n_peaks,n_troughs
Channel z < -2.0,bottom,10,9,50.0,2.0,2.0,16.666666666666664,33.33333333333333,-0.410332697674324,0.31194935167237825,-0.7222820493467023,-0.14569476240612902,0.6124748084354571,-0.7581695708415861,0.28086214375641305,1.015641128943431,-0.734778985187018,0.66,-2.134851959446597,2.1032850623900337,-4.23813702183663,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
40w stretch z < -1.5,bottom,8,9,37.5,4.0,3.5,25.0,22.22222222222222,-1.9040837577275163,0.31194935167237825,-2.2160331093998944,0.5614625282125516,0.6124748084354571,-0.05101228022290549,-0.0680626615790978,1.015641128943431,-1.0837037905225289,0.72,0.36796688622166684,2.1032850623900337,-1.735318176168367,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Composite < -1.0,bottom,16,9,37.5,3.0,3.0,14.285714285714285,44.44444444444444,-0.43858004231801534,0.31194935167237825,-0.7505293939903936,0.8434274079821855,0.6124748084354571,0.23095259954672842,1.2600092617276948,1.015641128943431,0.24436813278426373,0.415,0.449365815894643,2.1032850623900337,-1.6539192464953907,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Composite < -1.5,bottom,8,9,50.0,5.0,3.0,20.0,33.33333333333333,-1.2924177469095286,0.31194935167237825,-1.604367098581907,-1.1982585500959095,0.6124748084354571,-1.8107333585313667,-0.4368375395753673,1.015641128943431,-1.4524786685187983,0.7865,0.03529499656029644,2.1032850623900337,-2.067990065829737,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
13w ROC crosses > 0,bottom,23,9,8.695652173913043,12.0,-2.0,81.81818181818183,22.22222222222222,0.7565577377238253,0.31194935167237825,0.44460838605144704,1.5376169449012413,0.6124748084354571,0.9251421364657842,1.144489711605425,1.015641128943431,0.12884858266199384,0.4435,3.2543742887476044,2.1032850623900337,1.1510892263575707,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Ratio crosses > 40w MA,bottom,15,9,6.666666666666667,3.0,-1.0,83.33333333333334,11.11111111111111,2.6228185624532125,0.31194935167237825,2.3108692107808344,2.55373893251495,0.6124748084354571,1.9412641240794932,3.0771712379937606,1.015641128943431,2.0615301090503295,0.083,4.805820459140644,2.1032850623900337,2.7025353967506107,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
Washed + ROC cross,bottom,3,9,0.0,,-3.5,100.0,0.0,1.8573564153432809,0.31194935167237825,1.5454070636709027,2.1512802597043024,0.6124748084354571,1.5388054512688454,4.491112686148702,1.015641128943431,3.4754715572052706,0.116,1.2062739884516007,2.1032850623900337,-0.8970110739384329,Momentum vs Equal Wt,8.199884123852247,Price ratios,9,9
wRSI > 70,top,15,12,53.333333333333336,5.5,4.0,22.22222222222222,50.0,4.859521686112161,0.833021642788457,4.026500043323704,5.242335624119256,1.6590721215966187,3.583263502522637,10.287981627799317,2.827040799126183,7.4609408286731345,0.9905,14.680174504987326,6.118672186813483,8.561502318173844,Semis vs Software,14.187534246279531,Price ratios,12,11
wRSI > 75,top,8,12,62.5,6.0,6.0,0.0,33.33333333333333,3.291619582771484,0.833021642788457,2.4585979399830267,9.147784185707305,1.6590721215966187,7.488712064110686,14.472976614966413,2.827040799126183,11.64593581584023,0.993,27.64352422321941,6.118672186813483,21.524852036405925,Semis vs Software,14.187534246279531,Price ratios,12,11
Channel z > +1.5,top,20,12,55.00000000000001,6.0,1.0,40.0,50.0,1.683800766411638,0.833021642788457,0.8507791236231809,3.465799077604089,1.6590721215966187,1.8067269560074704,8.115934873988254,2.827040799126183,5.288894074862071,0.9745,6.599518268450352,6.118672186813483,0.48084608163686937,Semis vs Software,14.187534246279531,Price ratios,12,11
Channel z > +2.0,top,15,12,46.666666666666664,6.0,1.0,36.36363636363637,41.66666666666667,-0.021713958860063325,0.833021642788457,-0.8547356016485204,3.6176978255492003,1.6590721215966187,1.9586257039525816,2.537701844063177,2.827040799126183,-0.2893389550630059,0.5005,3.324235543052022,6.118672186813483,-2.794436643761461,Semis vs Software,14.187534246279531,Price ratios,12,11
40w stretch z > +1.5,top,18,12,50.0,7.0,3.5,33.33333333333333,50.0,2.9359438414518926,0.833021642788457,2.1029221986634354,5.986670956049551,1.6590721215966187,4.327598834452932,8.425761341409292,2.827040799126183,5.598720542283109,0.984,11.529092421980632,6.118672186813483,5.410420235167149,Semis vs Software,14.187534246279531,Price ratios,12,11
Composite > +1.0,top,28,12,50.0,6.0,3.0,29.411764705882355,66.66666666666666,1.6523295708815902,0.833021642788457,0.8193079280931331,3.6564968157575035,1.6590721215966187,1.9974246941608849,7.694510477973136,2.827040799126183,4.867469678846954,0.9835,7.602384685014252,6.118672186813483,1.4837124982007692,Semis vs Software,14.187534246279531,Price ratios,12,11
Composite > +1.5,top,18,12,55.55555555555556,6.5,2.5,25.0,50.0,2.974530919374607,0.833021642788457,2.1415092765861496,5.58535962798361,1.6590721215966187,3.9262875063869918,7.61758241413828,2.827040799126183,4.790541615012097,0.963,12.266496179184555,6.118672186813483,6.147823992371072,Semis vs Software,14.187534246279531,Price ratios,12,11
Monthly RSI > 70,top,12,12,75.0,4.0,2.0,36.36363636363637,41.66666666666667,5.037667869985037,0.833021642788457,4.20464622719658,4.386850466383284,1.6590721215966187,2.7277783447866653,8.675394642591819,2.827040799126183,5.848353843465636,0.953,6.494201728700378,6.118672186813483,0.3755295418868947,Semis vs Software,14.187534246279531,Price ratios,12,11
13w ROC crosses < 0,top,24,12,4.166666666666666,8.0,-7.0,88.88888888888889,8.333333333333332,-0.08322994527447032,0.833021642788457,-0.9162515880629274,0.8805511409501413,1.6590721215966187,-0.7785209806464773,2.6543608464476476,2.827040799126183,-0.1726799526785352,0.5155,5.082352914213567,6.118672186813483,-1.0363192725999157,Semis vs Software,14.187534246279531,Price ratios,12,11
Ratio crosses < 40w MA,top,16,12,6.25,11.0,-10.5,83.33333333333334,8.333333333333332,1.0141837969478555,0.833021642788457,0.18116215415939851,-0.45305712619813077,1.6590721215966187,-2.1121292477947495,-0.008022498560779448,2.827040799126183,-2.835063297686962,0.152,8.459737831396987,6.118672186813483,2.3410656445835043,Semis vs Software,14.187534246279531,Price ratios,12,11
Extended + ROC cross,top,2,12,50.0,8.0,1.0,50.0,8.333333333333332,-5.928668043582503,0.833021642788457,-6.76168968637096,4.474035329865956,1.6590721215966187,2.814963208269337,-6.899016647169887,2.827040799126183,-9.72605744629607,0.1095,-3.6601474086041086,6.118672186813483,-9.778819595417591,Semis vs Software,14.187534246279531,Price ratios,12,11
wRSI < 30,bottom,2,11,50.0,4.0,4.0,0.0,9.090909090909092,-0.34137010470479123,0.833021642788457,-1.1743917474932482,1.342889814723991,1.6590721215966187,-0.3161823068726277,2.667109820005714,2.827040799126183,-0.15993097912046883,0.4335,-0.7401355657987554,6.118672186813483,-6.858807752612238,Semis vs Software,14.187534246279531,Price ratios,12,11
Channel z < -1.5,bottom,16,11,31.25,4.0,1.0,42.857142857142854,36.36363636363637,1.8100690634017869,0.833021642788457,0.9770474206133298,3.2536979138094284,1.6590721215966187,1.5946257922128098,4.825260364039061,2.827040799126183,1.9982195649128784,0.218,10.89472525920793,6.118672186813483,4.776053072394446,Semis vs Software,14.187534246279531,Price ratios,12,11
Channel z < -2.0,bottom,10,11,50.0,2.0,0.5,33.33333333333333,36.36363636363637,1.9445937438896508,0.833021642788457,1.1115721011011939,3.5140057631357946,1.6590721215966187,1.854933641539176,3.8426709373339727,2.827040799126183,1.01563013820779,0.3295,10.535070255587765,6.118672186813483,4.416398068774282,Semis vs Software,14.187534246279531,Price ratios,12,11
40w stretch z < -1.5,bottom,12,11,41.66666666666667,4.0,2.0,33.33333333333333,36.36363636363637,1.446127214712167,0.833021642788457,0.6131055719237101,2.529539893505673,1.6590721215966187,0.8704677719090546,2.8130209196270015,2.827040799126183,-0.014019879499181265,0.484,8.861591235493924,6.118672186813483,2.7429190486804407,Semis vs Software,14.187534246279531,Price ratios,12,11
Composite < -1.0,bottom,19,11,31.57894736842105,2.5,1.0,25.0,45.45454545454545,0.9020651916965743,0.833021642788457,0.06904354890811726,2.385888736723319,1.6590721215966187,0.7268166151267001,3.4003779009506347,2.827040799126183,0.573337101824452,0.3795,9.847535632823382,6.118672186813483,3.728863446009899,Semis vs Software,14.187534246279531,Price ratios,12,11
Composite < -1.5,bottom,12,11,41.66666666666667,4.0,1.5,33.33333333333333,36.36363636363637,1.1522563174091085,0.833021642788457,0.31923467462065147,2.094468284056154,1.6590721215966187,0.4353961624595355,2.678950083571017,2.827040799126183,-0.14809071555516562,0.4905,9.06257933814423,6.118672186813483,2.9439071513307473,Semis vs Software,14.187534246279531,Price ratios,12,11
13w ROC crosses > 0,bottom,24,11,16.666666666666664,10.0,-5.0,81.81818181818183,36.36363636363637,0.27503483322140293,0.833021642788457,-0.5579868095670542,0.09606997175042527,1.6590721215966187,-1.5630021498461935,0.34675779848405713,2.827040799126183,-2.4802830006421255,0.872,5.6244436486824725,6.118672186813483,-0.49422853813101053,Semis vs Software,14.187534246279531,Price ratios,12,11
Ratio crosses > 40w MA,bottom,19,11,21.052631578947366,9.5,-2.0,55.55555555555556,36.36363636363637,1.3172800874297361,0.833021642788457,0.4842584446412791,1.4176893249811233,1.6590721215966187,-0.24138279661549533,2.378015726558921,2.827040799126183,-0.44902507256726176,0.521,9.806699462562722,6.118672186813483,3.6880272757492394,Semis vs Software,14.187534246279531,Price ratios,12,11
Washed + ROC cross,bottom,4,11,25.0,11.0,-10.0,100.0,9.090909090909092,-0.7913187356175215,0.833021642788457,-1.6243403784059787,-0.9822531921437339,1.6590721215966187,-2.6413253137403525,3.783969898359091,2.827040799126183,0.9569290992329083,0.3575,14.288788910476162,6.118672186813483,8.17011672366268,Semis vs Software,14.187534246279531,Price ratios,12,11
