date,ticker,name,signal,universe,xs_1m,xs_3m,xs_6m,xs_12m,mae,period,rel5,w_rsi,m_rsi,rv,drawdown,move21,mkt_part,sec_part,spec_part,driver,mkt_gauge,regime,credit_stress
2020-05-22,O,Realty Income,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.05482,-0.01281,-0.08387,-0.12196,-0.00180,Out-of-sample 2015+,0.27542,41.48420,41.14588,0.37340,0.35990,0.06002,0.06933,-0.05510,0.04579,Market,82.72487,Elevated,True
2020-03-13,OC,Owens Corning,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.00917,0.32276,0.53322,0.99086,-0.08608,Out-of-sample 2015+,0.31783,25.24200,37.43624,0.58314,0.38574,-0.42135,-0.26055,-0.03704,-0.12377,Market,99.04762,Panic,True
2008-01-18,ODFL,Old Dominion,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.33042,0.29195,0.75785,0.37587,0.00000,In-sample 2005-14,1.84940,38.51663,40.88936,0.55539,0.35661,-0.09295,-0.12896,-0.00758,0.04359,Market,94.84127,Elevated,False
2008-09-29,ODFL,Old Dominion,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.15200,0.18050,0.15105,0.13980,-0.32816,In-sample 2005-14,1.70994,41.01919,47.87579,0.69145,0.30406,-0.22655,-0.26057,0.00108,0.03294,Market,100.00000,Elevated,False
2009-03-02,ODFL,Old Dominion,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.05743,0.15496,0.31245,-0.10344,-0.04561,In-sample 2005-14,0.78288,41.51530,40.82094,0.54096,0.47765,-0.27236,-0.18703,-0.10471,0.01939,Market,96.11111,Elevated,False
2025-04-23,ODFL,Old Dominion,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.04256,-0.11547,-0.37775,0.07438,-0.07653,Out-of-sample 2015+,0.78873,35.53555,42.97076,0.55376,0.33722,-0.10415,-0.06841,-0.00531,-0.03043,Market,87.40741,Panic,False
2020-03-05,OGS,ONE Gas Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.07815,-0.13178,-0.32062,-0.43093,-0.23272,Out-of-sample 2015+,0.86434,44.13524,55.67273,0.25429,0.09397,-0.08178,-0.03363,-0.01481,-0.03334,Market,97.48677,Panic,True
2020-06-11,OGS,ONE Gas Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.07416,-0.19503,-0.16387,-0.38621,-0.09207,Out-of-sample 2015+,0.65999,43.57537,45.60865,0.32668,0.19670,-0.00883,0.05309,0.01682,-0.07873,Specific,93.96825,Panic,True
2008-08-01,OII,Oceaneering International Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.03325,-0.27874,-0.09751,0.11628,-0.61308,In-sample 2005-14,4.01378,39.35653,52.54779,0.49720,0.30772,-0.21080,-0.00016,-0.22395,0.01331,Sector,87.69841,Elevated,False
2008-10-30,OII,Oceaneering International Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.05207,0.29075,0.82915,0.71118,-0.30493,In-sample 2005-14,3.18781,30.67110,36.36541,1.42594,0.64711,-0.53673,-0.15243,-0.01826,-0.36604,Specific,99.12698,Elevated,False
2009-02-23,OII,Oceaneering International Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.24221,0.42683,0.44108,0.46029,-0.07792,In-sample 2005-14,1.28662,40.85636,38.82909,0.64926,0.64553,0.00000,-0.13645,-0.01234,0.14879,Specific,96.11111,Elevated,False
2010-05-20,OII,Oceaneering International Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.12671,-0.04152,0.20709,0.28670,-0.23845,In-sample 2005-14,1.83923,41.18439,49.07324,0.55334,0.25212,-0.24435,-0.20030,0.01530,-0.05934,Market,70.84305,Panic,False
