date,ticker,ret,xs,universe
2022-06-08,IHI,0.020244122,-0.9698798057712619,Sector/Theme ETFs
2022-06-08,KEYS,1.2385652,0.24844127920493442,US Stocks
2022-06-09,ASND,1.9921479,0.9425957742847846,US Stocks
2022-06-09,FRPT,0.027326941,-1.0222252067409112,US Stocks
2022-06-09,HCA,1.2723749,0.22282272016185978,US Stocks
2022-06-09,IQV,0.29633033,-0.7532218154750421,US Stocks
2022-06-09,NOW,0.4775442,-0.5720079597316339,US Stocks
2022-06-09,ARKQ,1.2851577,0.23560553228039005,Sector/Theme ETFs
2022-06-10,WK,0.16610563,-0.9643352013996993,US Stocks
2022-06-10,PAYC,-0.12904537,-1.259486196654216,US Stocks
2022-06-10,MTCH,-0.3723824,-1.502823231833354,US Stocks
2022-06-10,GOOG,2.2053282,1.0748873966761674,US Stocks
2022-06-10,EGP,0.4787284,-0.651712415831462,US Stocks
2022-06-10,GOOGL,2.2533555,1.1229146736689652,US Stocks
2022-06-13,CHDN,-0.08320898,-1.2200890430451854,US Stocks
2022-06-13,DHR,-0.008722305,-1.14560237016692,US Stocks
2022-06-13,FIVN,-0.5998591,-1.7367391833306773,US Stocks
2022-06-13,FTAI,12.744901,11.608020638561108,US Stocks
2022-06-13,MKC,-0.3385824,-1.4754624613763316,US Stocks
2022-06-13,NVCR,-0.7290797,-1.8659597882272227,US Stocks
2022-06-13,WST,0.30531943,-0.8315606364251598,US Stocks
2022-06-13,ONC,1.63677,0.4998899451254384,US Stocks
2022-06-14,PFGC,1.285069,0.1782248411614833,US Stocks
2022-06-14,POOL,-0.49289048,-1.5997346248190465,US Stocks
2022-06-14,RH,-0.49460733,-1.6014514770071568,US Stocks
2022-06-15,SHAK,0.48804843,-0.6909106814498513,US Stocks
2022-06-16,APO,1.7869058,0.6126335445827698,US Stocks
2022-06-16,ARES,1.6092141,0.43494184650842893,US Stocks
2022-06-16,CHDN,-0.06347591,-1.237748127799585,US Stocks
2022-06-16,FTAI,13.412444,12.238171893734382,US Stocks
2022-06-16,GNRC,-0.2049489,-1.3792211230808045,US Stocks
2022-06-16,XLY,0.67954564,-0.49472658000524294,Sector/Theme ETFs
2022-06-16,MTCH,-0.337914,-1.5121862109714295,US Stocks
2022-06-16,PODD,-0.29980075,-1.4740729745441223,US Stocks
2022-06-16,WST,0.29511976,-0.8791524585300232,US Stocks
2022-06-16,IGV,1.0012879,-0.17298428378637087,Sector/Theme ETFs
2022-06-16,KKR,1.2188146,0.04454239048425901,US Stocks
2022-06-17,BHC,-0.20972222,-1.3306040319145787,US Stocks
2022-06-17,GDDY,0.4889555,-0.6319263132752049,US Stocks
2022-06-27,BBY,0.6323035,-0.4574876359829987,US Stocks
2022-06-28,ARKQ,1.3716376,0.2801429951740406,Sector/Theme ETFs
2022-06-28,APPF,1.4048059,0.3133113110614918,US Stocks
2022-06-28,WK,0.07239759,-1.0190969979213573,US Stocks
2022-06-28,RH,-0.4668802,-1.558374789898286,US Stocks
2022-06-28,NOW,0.4631952,-0.6282993828700878,US Stocks
2022-06-28,MTCH,-0.36152327,-1.4530178582118847,US Stocks
2022-06-28,ZTS,-0.5580218,-1.6495163714336254,US Stocks
2022-06-28,GOOG,2.0517101,0.9602155411792896,US Stocks
2022-06-28,FRPT,0.13193429,-0.9595603024410106,US Stocks
2022-06-28,EPAM,-0.6187982,-1.7102927839206554,US Stocks
2022-06-28,EGP,0.4380145,-0.6534800803111889,US Stocks
2022-06-28,GOOGL,2.0987287,1.0072340691639088,US Stocks
